Channel,imaqtpie,Reckful,RatedEpicz,LIRIK,Nightblue3,nl_Kripp,Meteos,sneakylol,Doublelift,Amaz,IzakOOO,SilverName,Castro_1021,TimTheTatman,YoDa,CohhCarnage,hanryang1125,Dyrus
Language,English,English,English,English,English,English,English,English,English,English,Polish,Russian,English,English,Portuguese,English,Korean,English
2017-04-14,0,48562,0,204123,64210,169358,0,50578,64480,81709,19724,0,65217,52135,0,69499,0,27822
2017-04-15,129249,24309,0,268596,33682,178099,0,25649,2497,41907,24109,0,45167,57874,0,63714,55571,64039
2017-04-16,110582,28848,0,211239,58803,185659,0,0,50823,73037,3595,120781,0,31260,0,55641,60863,36616
2017-04-17,232622,145679,0,0,0,194323,0,64896,42112,127839,24306,131028,40663,50137,0,80139,59140,129333
2017-04-18,226910,0,0,245860,50505,176345,0,67089,29047,80044,16457,87448,27665,93995,0,53294,63171,71666
2017-04-19,251129,13616,0,265352,65708,156688,0,40759,42402,66648,12892,21340,39715,93637,0,42743,74216,35438
2017-04-20,279011,1063,0,0,48003,153657,0,0,0,69538,56804,74460,40216,90609,7584,58990,60156,88520
2017-04-21,0,2549,0,238334,0,84868,755,0,0,128023,77137,0,67616,64325,59350,58518,0,52525
2017-04-22,0,0,0,250391,61535,117190,2526,0,0,0,78275,117598,69173,70578,59162,40784,59983,107943
2017-04-23,0,5858,0,234654,53295,111195,0,0,0,87892,86885,70649,0,43789,56769,49991,70287,58488
2017-04-24,0,33211,0,234141,74937,105361,0,0,0,109633,45469,87387,74680,35440,0,62864,68332,158208
2017-04-25,198174,3735,0,256900,34089,109831,0,0,74613,85666,34506,46446,0,81222,0,118156,63939,154403
2017-04-26,190147,32071,0,139023,82437,90983,0,146917,95174,58251,24485,53732,68086,76128,0,64493,55067,31950
2017-04-27,212803,0,0,0,67600,72026,0,111051,69755,64733,17254,15649,48175,88143,0,58507,44105,24399
2017-04-28,154709,0,0,0,0,111866,0,111226,26705,55281,5546,80644,42072,67027,0,69929,53692,29431
2017-04-29,150877,746,0,248620,56537,66187,0,155093,53285,0,0,0,46200,54637,0,68483,51092,78071
2017-04-30,114302,0,0,238495,118991,104719,0,150883,0,0,21044,30184,0,36426,0,52295,67014,76813
2017-05-01,175373,0,0,256440,132472,89002,0,190941,34109,30327,3593,136423,0,38007,0,32344,53782,13640
2017-05-02,175452,0,0,221706,0,107736,0,156412,104594,60244,0,0,0,96920,0,62479,62212,48788
2017-05-03,142499,0,0,0,85212,60149,0,86745,89526,86419,45187,94285,0,90760,47740,46643,53917,30611
2017-05-04,133736,0,0,316088,92120,110907,0,154813,86544,46686,48532,103597,0,139653,141827,162356,46805,69515
2017-05-05,208585,0,0,181194,22649,104743,0,148630,79835,0,18764,67415,51991,9395,136938,130313,0,31556
2017-05-06,129373,28615,0,221698,117626,87883,37160,87621,48109,0,44238,79066,41549,52268,210205,119728,0,75340
2017-05-07,244069,36210,0,184282,93413,65231,0,112084,0,39868,21428,0,33627,40718,0,74080,0,73156
2017-05-08,253541,71936,0,223739,78985,102333,25575,0,22602,0,17318,89771,26184,35180,166612,50317,50490,80556
2017-05-09,135930,0,0,215629,55284,0,0,0,0,60675,41286,43834,0,32258,109574,59507,55552,8922
2017-05-10,0,0,0,225971,141250,100737,0,56988,0,62256,14222,58564,43737,74620,124006,55895,54493,26561
2017-05-11,131398,9121,0,0,111041,75219,0,36045,58981,69929,30359,0,23858,85353,164439,72161,57417,27794
2017-05-12,149514,66738,0,274456,0,83612,0,44922,62030,97221,4611,0,113798,48875,136433,103462,0,41215
2017-05-13,129168,10464,0,221874,101805,56059,0,52881,0,0,0,0,72794,52520,117371,84967,62049,0
2017-05-14,159544,3267,0,246267,0,97494,55099,55782,0,21264,28010,0,42333,44854,23499,89348,61431,26346
2017-05-15,262294,66551,0,0,0,80117,24779,0,0,72879,7834,71483,31385,58478,120306,93239,55842,27340
2017-05-16,206566,44969,0,217432,64511,85165,8712,82461,0,68689,16657,40116,49452,79394,175609,57443,52635,0
2017-05-17,202189,0,0,255003,65237,87862,0,49196,0,63941,1884,59634,35815,76745,172118,66896,50025,0
2017-05-18,244629,0,0,0,81850,66553,0,48901,0,78715,0,60424,0,69129,119211,69824,55280,84701
2017-05-19,134168,2921,0,202242,0,55011,491,38332,0,86565,20988,55401,70349,49501,59071,74213,0,90610
2017-05-20,108725,43047,0,222324,128772,50149,7478,25878,0,0,16478,48525,82509,67699,195378,74732,62100,63094
2017-05-21,146099,0,0,246724,51475,91290,0,44882,0,15086,12731,0,0,66295,83155,62819,57475,72868
2017-05-22,222438,0,0,269187,0,104990,0,70649,0,53915,13904,68880,0,39091,104236,72454,58662,99082
